0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
5,4.6,1
0,0,1
0,0,1
0,0,1
14,3.9,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
10,3.5,0
0,0,1
4,4,1
4,4.3,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
247,1.5,0
14,3.9,0
0,0,1
113,2.9,1
0,0,1
4,3,1
0,0,1
0,0,1
0,0,0
4,3.3,0
5,3.2,0
4,4.5,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
8,4.3,0
0,0,1
58,4.1,0
206,4.1,0
0,0,1
27,2.8,1
0,0,1
4,4,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
4,4.8,0
20,3.2,0
0,0,1
0,0,0
24,3.4,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
25,4,0
0,0,1
8,4.2,0
0,0,1
0,0,1
30,1.4,0
0,0,1
0,0,1
0,0,1
38,3.8,0
0,0,1
0,0,1
34,3.5,0
0,0,1
12,3.5,1
7,3.3,1
14,3.4,1
0,0,0
20,4.6,0
0,0,0
7,3.5,1
0,0,1
205,3.3,0
0,0,1
0,0,1
0,0,1
0,0,1
8,3.3,1
0,0,1
4,2.9,1
0,0,1
0,0,1
4,1,1
14,3,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
31,3.3,0
0,0,1
79,5,0
0,0,0
0,0,1
156,3.8,0
0,0,1
226,3.7,0
0,0,1
4,2.6,1
11,4.1,1
5,3.2,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
30,4,0
71,4.7,0
0,0,1
128,3.6,0
21,4.2,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
6,4,1
47,3.5,0
0,0,1
0,0,1
0,0,1
0,0,1
20,2.9,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
234,4.2,0
9,2.1,1
0,0,1
0,0,0
0,0,1
24,3.7,0
88,3.7,0
0,0,1
0,0,1
12,3.2,1
11,3,0
0,0,1
7,2.9,0
0,0,1
0,0,0
0,0,1
68,4.3,0
0,0,1
0,0,1
29,3.7,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
34,3.8,0
0,0,1
117,3.3,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
240,3.6,0
0,0,1
0,0,1
0,0,1
0,0,1
504,3.1,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
5,3.5,0
76,3.7,0
7,3.1,1
0,0,1
22,2.6,1
0,0,1
28,3.8,0
0,0,1
22,3.1,0
0,0,1
0,0,1
0,0,1
7,4.3,0
0,0,0
6,4,1
0,0,0
0,0,1
0,0,1
4,2.7,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
119,4.4,0
0,0,1
14,3,1
52,3.8,0
0,0,1
0,0,1
0,0,1
0,0,1
278,3.3,0
0,0,0
50,4.5,1
5,4.5,0
13,3.3,1
81,3.5,0
5,4.1,0
0,0,1
0,0,1
0,0,1
0,0,1
26,2.4,0
0,0,1
10,3.8,0
0,0,1
0,0,1
45,3.1,1
0,0,1
781,3,0
0,0,1
0,0,1
4,2.3,1
4,4.3,1
0,0,1
34,4.6,0
0,0,1
244,4.5,0
17,3.6,0
0,0,0
95,4.9,0
0,0,1
0,0,1
0,0,0
0,0,1
5,3.2,1
39,3.1,1
10,3.5,1
52,3.1,1
0,0,1
0,0,1
0,0,1
0,0,0
0,0,1
0,0,0
0,0,1
13,3.9,0
0,0,1
0,0,1
16,2.5,1
0,0,1
26,3.6,0
0,0,1
0,0,1
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
21,4.1,0
0,0,1
0,0,1
0,0,1
5,4.5,0
0,0,1
0,0,1
16,4.5,0
0,0,1
0,0,1
16,4.2,0
0,0,1
0,0,1
84,3.7,1
0,0,1
0,0,1
10,3.9,0
59,4.3,0
0,0,1
0,0,1
0,0,1
11,3,0
0,0,0
0,0,1
